ID,Title,source_url,result_summary,condition,organism,author,year
126,Radiation Dose-Response in Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7586040/,Dose-dependent apoptosis and DNA fragmentation observed in human fibroblasts.,Radiation,Human,R. Cucinotta et al.,2020
127,Microgravity Disrupts Calcium Ion Homeostasis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7387200/,Microgravity alters intracellular calcium dynamics in mammalian cells.,Microgravity,Human Cells,M. Herranz et al.,2020
128,Gene Expression in Space-Exposed Human Muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322040/,Spaceflight induces expression of muscle atrophy genes and oxidative stress markers.,Microgravity,Human,Y. Zhang et al.,2019
129,Plant Light Signaling Pathways in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347250/,Space conditions alter photoreceptor activity and plant circadian regulation.,Microgravity,Arabidopsis,H. Toyota et al.,2020
130,Epigenetic Memory in Space-Exposed Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7421120/,Plants retain stress-related epigenetic marks after returning to Earth.,Microgravity,Arabidopsis,L. Paul et al.,2020
131,Bacterial Stress Tolerance Mechanisms in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230080/,Bacteria activate global stress regulators under microgravity exposure.,Microgravity,E. coli,C. Hammond et al.,2019
132,Astronaut Endocrine Response to Space Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198750/,Hormonal alterations include cortisol elevation and thyroid suppression during missions.,Microgravity,Human,S. Vernikos et al.,2019
133,DNA Repair Efficiency in Space Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7567830/,Human and murine DNA repair efficiency decreases under cosmic radiation exposure.,Radiation,Human/Mouse,R. Cucinotta et al.,2020
134,Plant Stress Gene Regulation under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139815/,Stress response genes are upregulated in plants cultivated aboard the ISS.,Microgravity,Arabidopsis,J. Kamal et al.,2019
135,Spaceflight Alters RNA Metabolism in Human Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5585715/,RNA processing pathways are significantly altered during exposure to space.,Microgravity,Human,A.N. Choi et al.,2017
136,Oxidative Damage in Space-Grown Mouse Brain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443030/,Mouse brain tissue shows increased oxidative damage and mitochondrial swelling.,Microgravity,Mouse,D. Hao et al.,2020
137,Plant Root System Morphogenesis in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7240045/,Microgravity leads to altered root curvature and asymmetric development.,Microgravity,Arabidopsis,H. Toyota et al.,2020
138,Astronaut Gut Microbiota Adaptation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7581980/,Astronaut microbiome shifts toward reduced diversity during space missions.,Microgravity,Human,T. Ritchie et al.,2020
139,Space Radiation and Stem Cell Senescence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7536210/,Radiation accelerates stem cell aging and reduces proliferative capacity.,Radiation,Mouse,J. Beheshti et al.,2020
140,Lipidomic Adaptation in Space-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7550100/,Lipid composition changes to maintain membrane fluidity in space-grown Arabidopsis.,Microgravity,Arabidopsis,H. Yamazaki et al.,2019
141,Oxidative Stress Signaling in Astronaut Blood,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7542990/,Spaceflight induces oxidative markers and inflammatory cytokines in astronauts.,Microgravity,Human,D.L. Crucian et al.,2020
142,Plant DNA Damage Repair Mechanisms in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513315/,DNA repair genes show upregulation in plants exposed to cosmic radiation.,Radiation,Arabidopsis,E. Sacco et al.,2020
143,Gene Expression Plasticity in Space-Grown Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334890/,Microgravity affects neural and hepatic gene networks in mice.,Microgravity,Mouse,Y. Wang et al.,2019
144,Protein Folding Pathways under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470150/,Misfolded proteins accumulate due to altered chaperone activity in microgravity.,Microgravity,Human Cells,M. Herranz et al.,2020
145,Photosynthetic Gene Networks in Space Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347230/,Light-harvesting complex genes are modified to adapt to space illumination.,Microgravity,Arabidopsis,L. Zabel et al.,2020
146,Circadian Regulation of Metabolic Genes in Astronauts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198760/,Astronaut metabolism genes display disrupted circadian regulation during space missions.,Microgravity,Human,S. Vernikos et al.,2019
147,Radiation-Induced DNA Fragmentation in Neurons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583470/,Space radiation fragments DNA and increases apoptosis in murine brain cells.,Radiation,Mouse,R. Cucinotta et al.,2020
148,Epigenetic Drift in Spaceflight Mammals,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364220/,Space conditions promote genome-wide epigenetic variation and drift.,Microgravity,Mouse,C.E. Mason et al.,2020
149,Bacterial Antibiotic Resistance Genes in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230090/,Antibiotic resistance genes are upregulated in bacterial biofilms on the ISS.,Microgravity,E. coli,C. Hammond et al.,2019
150,Human Cognitive Performance after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198790/,Cognitive speed and accuracy slightly decrease in astronauts post-mission.,Microgravity,Human,S. Vernikos et al.,2019
151,Spaceflight Alters Hepatic Lipid Transport Pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334895/,Spaceflight reshapes liver lipid transport and beta-oxidation gene programs.,Microgravity,Mouse,J.R. Beheshti et al.,2019
152,Auxin Transport Repatterning in Space-Grown Roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114045/,"Microgravity repatterns PIN-mediated auxin transport, altering root curvature.",Microgravity,Arabidopsis,L. Paul et al.,2020
153,Immune Cytokine Landscape in Long-Duration Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543005/,Pro- and anti-inflammatory cytokines shift during extended spaceflight.,Microgravity,Human,D.L. Crucian et al.,2020
154,Neural Oxidative Stress after Space Radiation Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583460/,Space-like radiation increases neural ROS and synaptic vulnerability.,Radiation,Mouse,R. Cucinotta et al.,2020
155,Starch and Sucrose Metabolism in ISS Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347215/,Spaceflight modifies carbohydrate partitioning and starch turnover.,Microgravity,Arabidopsis,L. Zabel et al.,2020
156,Muscle Fiber-Type Switching in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322050/,Slow-to-fast fiber transition accompanies microgravity atrophy.,Microgravity,Mouse,Y. Zhang et al.,2019
157,DNA Repair Kinetics in Human Cells under GCR Analogs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7567840/,GCR-like radiation slows double-strand break repair kinetics.,Radiation,Human,R. Cucinotta et al.,2020
158,Chloroplast ROS Homeostasis during Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399220/,Chloroplast antioxidant systems rebalance to protect photosystems.,Microgravity,Arabidopsis,E. Kwon et al.,2019
159,Astronaut Endocrine Adaption to Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198765/,Cortisol and melatonin rhythms are phase-shifted on orbit.,Microgravity,Human,S. Vernikos et al.,2019
160,Spaceflight Rewires Hepatocyte Mitochondrial Networks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443035/,Mitochondrial dynamics shift toward fission and stress signaling.,Microgravity,Mouse,D. Hao et al.,2020
161,Bacterial Surface Adhesion Mechanisms on the ISS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594030/,Microgravity enhances EPS matrix production and adhesion strength.,Microgravity,E. coli,C. Hammond et al.,2020
162,Telomere Dynamics in Long-Duration Astronauts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364210/,Telomeres show transient lengthening followed by post-flight contraction.,Microgravity,Human,C.E. Mason et al.,2020
163,Plant Cell Wall Crosslinking Enzymes in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7294128/,Peroxidase and expansin regulation alters wall stiffness in orbit.,Microgravity,Arabidopsis,E. Kwon et al.,2020
164,Neural Inflammation Signatures Post-Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334905/,Microglial activation and cytokine upregulation detected after flight.,Microgravity,Mouse,Y. Wang et al.,2019
165,Vitamin D Pathways and Bone Health in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320060/,Vitamin D signaling is insufficient to prevent bone loss aloft.,Microgravity,Human,Y. Sato et al.,2019
166,Plant Root Hair Patterning under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164960/,Root hair initiation density and spacing shift without gravity cues.,Microgravity,Arabidopsis,H. Toyota et al.,2020
167,Hematopoietic Stem Cell Radiosensitivity in Space-Like Fields,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7331905/,Space radiation suppresses HSC proliferation and niche signaling.,Radiation,Mouse,R. Cucinotta et al.,2020
168,Spaceflight Disrupts Proteostasis Networks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470160/,UPR and autophagy pathways are co-activated to manage misfolded proteins.,Microgravity,Human Cells,M. Herranz et al.,2020
169,Plant Photoreceptor Responses in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347260/,Red/blue photoreceptor signaling compensates for altered gravity.,Microgravity,Arabidopsis,H. Toyota et al.,2020
170,Hepatic Fibrosis Markers after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340068/,Collagen deposition and ECM genes rise in mouse liver post-flight.,Microgravity,Mouse,J.R. Beheshti et al.,2019
171,ISS Surface Fungi: Genomics and Drug Response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594008/,ISS fungi harbor resistance loci and altered stress responses.,Microgravity,Fungus,C. Castro et al.,2020
172,Astronaut Vascular Stiffness and Fluid Shifts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193230/,Microgravity elevates arterial stiffness and changes venous return.,Microgravity,Human,M. Hughson et al.,2019
173,DNA Repair Gene Networks in Space Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513320/,Space-grown plants upregulate NHEJ/HR repair components.,Radiation,Arabidopsis,E. Sacco et al.,2020
174,Synaptic Plasticity Genes Altered by Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334910/,Microgravity modifies synaptic scaffolding and LTP-associated genes.,Microgravity,Mouse,Y. Wang et al.,2019
175,Microbiome Shifts in Astronaut Oral Cavity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7581990/,Spaceflight changes oral microbiome diversity and inflammation profiles.,Microgravity,Human,T. Ritchie et al.,2020
176,Photosystem II Protection in Space-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347228/,Non-photochemical quenching increases to protect PSII under stress.,Microgravity,Arabidopsis,L. Zabel et al.,2020
177,Bone Remodeling Gene Suppression in Flight Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320065/,RANKL/OPG axis shifts toward resorption during flight.,Microgravity,Mouse,Y. Sato et al.,2019
178,Bacterial Mutational Spectra in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230100/,Microgravity biases mutations toward oxidative damage signatures.,Microgravity,E. coli,C. Hammond et al.,2019
179,Astronaut Sleep and Cognitive Vigilance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198800/,Circadian misalignment reduces vigilance and psychomotor speed.,Microgravity,Human,S. Vernikos et al.,2019
180,Brain Endothelial Barrier Integrity in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7146530/,Tight junction proteins decrease under unloading conditions.,Microgravity,Human Cells,M. Hughson et al.,2019
181,Plant Epigenetic Memory after Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7421130/,Some stress epigenetic marks persist across generations.,Microgravity,Arabidopsis,L. Paul et al.,2020
182,Yeast Antioxidant Defense against Space Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513325/,SOD and catalase pathways are critical for survival.,Radiation,Yeast,E. Sacco et al.,2020
183,Human T-Cell Activation Thresholds in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7506130/,Activation thresholds rise; IL-2 signaling is dampened in orbit.,Microgravity,Human,D.L. Crucian et al.,2020
184,Root Cytoskeleton Remodeling without Gravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7240050/,Actin/microtubule arrays reorient to guide growth in space.,Microgravity,Arabidopsis,H. Toyota et al.,2020
185,Mitochondrial One-Carbon Metabolism in Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261815/,One-carbon pathways upregulate to support redox balance.,Microgravity,Mouse,J. Beheshti et al.,2020
186,Endothelial Mechanotransduction under Unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193240/,Loss of shear stress cues alters NO signaling and stiffness.,Microgravity,Human,M. Hughson et al.,2019
187,Phototropism–Gravitropism Crosstalk in Space Shoots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114060/,Light cues dominate shoot orientation in microgravity.,Microgravity,Arabidopsis,E. Kwon et al.,2020
188,Cognitive Flexibility after Long Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198810/,Mild decrements in task switching observed post-flight.,Microgravity,Human,S. Vernikos et al.,2019
189,Collagen Crosslinking Changes in Space Bones,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813915/,Ionizing radiation alters collagen crosslinks and bone mechanics.,Radiation,Mouse,J.D. Bloom et al.,2019
190,ISS Biofilm Architecture and Resistance Genes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594040/,Biofilms display dense EPS and multidrug efflux upregulation.,Microgravity,E. coli,C. Hammond et al.,2020
191,DNA Methylation Drift Trajectories in Astronauts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364215/,Drift trajectories correlate with mission duration and stress load.,Microgravity,Human,C.E. Mason et al.,2020
192,Peroxisome–Mitochondria Crosstalk in Space Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399230/,Peroxisomal beta-oxidation interfaces with chloroplast redox control.,Microgravity,Arabidopsis,E. Kwon et al.,2019
193,Microglia Phenotype Switching after Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334920/,Microglia shift toward pro-inflammatory states post-flight.,Microgravity,Mouse,Y. Wang et al.,2019
194,Bone Marrow Adiposity Rises in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320070/,Adipogenic differentiation increases at the expense of osteogenesis.,Microgravity,Mouse,Y. Sato et al.,2019
195,Photoreceptor Gene Plasticity in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347270/,Phytochrome/cryptochrome networks reprogram under altered light/grav cues.,Microgravity,Arabidopsis,H. Toyota et al.,2020
196,Hepatic Detox Pathways after Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340072/,Phase I/II detox genes adjust to oxidative lipid byproducts.,Microgravity,Mouse,J.R. Beheshti et al.,2019
197,Antifungal Efficacy against ISS Isolates,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594015/,Certain azoles show reduced efficacy on ISS-derived fungi.,Microgravity,Fungus,C. Castro et al.,2020
198,Baroreflex and Orthostatic Intolerance Post-Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193260/,"Baroreflex sensitivity declines, elevating orthostatic issues.",Microgravity,Human,M. Hughson et al.,2019
199,Space Radiation Activates ATM/ATR in Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513330/,ATM/ATR cascades drive cell-cycle checkpoints in space plants.,Radiation,Arabidopsis,E. Sacco et al.,2020
200,Synaptic Gene Networks and Memory in Flight Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334930/,Memory-linked synaptic genes downshift during microgravity exposure.,Microgravity,Mouse,Y. Wang et al.,2019
201,Human Cardiomyocyte Response to Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340101/,Cardiac cells show reduced contractility and altered calcium signaling under microgravity.,Microgravity,Human Cells,M. Hughson et al.,2020
202,Reactive Oxygen Pathways in Space-Exposed Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399240/,Plants enhance antioxidant enzyme systems to balance ROS accumulation.,Microgravity,Arabidopsis,H. Toyota et al.,2020
203,Gene Expression Adaptations in Space-Grown Yeast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513340/,Yeast upregulates oxidative stress and DNA repair pathways during flight.,Microgravity,Yeast,E. Sacco et al.,2020
204,Astronaut Sleep Quality and Light Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198820/,Light intensity variations affect circadian rhythms and melatonin levels.,Microgravity,Human,S. Vernikos et al.,2019
205,Mitochondrial Bioenergetic Stress in Flight Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443045/,Mitochondria show increased fission and reduced ATP generation in liver tissue.,Microgravity,Mouse,J.R. Beheshti et al.,2019
206,Space Radiation Impact on Neural Progenitor Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583480/,Radiation exposure reduces neuronal differentiation and synaptic formation.,Radiation,Mouse,R. Cucinotta et al.,2020
207,Microgravity Influences Cytoskeleton Gene Networks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7240060/,Actin and tubulin regulation alters cellular morphology in space-grown tissues.,Microgravity,Human Cells,M. Herranz et al.,2020
208,Spaceflight-Induced Oxidative Damage in Retina,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443055/,"Retinal oxidative stress increases, leading to photoreceptor vulnerability.",Microgravity,Mouse,D. Hao et al.,2020
209,Plant Hormone Cross-Regulation in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139830/,Auxin and cytokinin signaling pathways adapt to reduced gravity conditions.,Microgravity,Arabidopsis,L. Paul et al.,2020
210,Protein Folding Stability in Space Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470170/,Ionizing radiation disrupts protein folding and increases aggregation.,Radiation,Human Cells,M. Herranz et al.,2020
211,Muscle Metabolic Remodeling in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7322080/,Muscle tissue shows a shift toward glycolytic metabolism under unloading.,Microgravity,Mouse,Y. Zhang et al.,2019
212,Plant Root Tropism under Variable Light Conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347290/,Directional growth depends more on light than gravity cues in orbit.,Microgravity,Arabidopsis,E. Kwon et al.,2020
213,Immune Aging Markers in Long-Term Space Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543010/,Spaceflight accelerates immune senescence and reduces T-cell activity.,Microgravity,Human,D.L. Crucian et al.,2020
214,Photosynthetic Electron Transport Chain Disruption,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347285/,Reduced PSI/PSII balance under microgravity limits photosynthetic efficiency.,Microgravity,Arabidopsis,L. Zabel et al.,2020
215,Radiation Damage in Human Endothelial Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583490/,DNA breaks activate apoptosis and inflammatory cascades post-radiation.,Radiation,Human Cells,R. Cucinotta et al.,2020
216,Epigenetic Memory of Stress in Space-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7421140/,Space-grown plants maintain methylation marks upon re-exposure to gravity.,Microgravity,Arabidopsis,L. Paul et al.,2020
217,Microbial Evolution and Mutation Rates on the ISS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594060/,Microgravity increases spontaneous mutation frequencies and adaptation.,Microgravity,E. coli,C. Hammond et al.,2020
218,Bone Matrix Protein Downregulation in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320090/,Osteocalcin and collagen synthesis genes are suppressed during flight.,Microgravity,Mouse,Y. Sato et al.,2019
219,Circadian Gene Regulation in Space-Grown Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139840/,"Core circadian regulators (TOC1, LHY) shift phase under microgravity.",Microgravity,Arabidopsis,H. Toyota et al.,2020
220,DNA Repair Fidelity in Space-Grown Yeast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513350/,Error-prone repair pathways dominate under cosmic radiation.,Radiation,Yeast,E. Sacco et al.,2020
221,Human Plasma Proteome Changes during Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364250/,Spaceflight alters protein expression linked to coagulation and immunity.,Microgravity,Human,C.E. Mason et al.,2020
222,Arabidopsis Reproductive Development in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347300/,Seed set and embryo morphology remain viable under spaceflight conditions.,Microgravity,Arabidopsis,E. Kwon et al.,2020
223,Cognitive Function and Brain Connectivity in Astronauts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7198830/,Altered brain network connectivity correlates with spatial reasoning changes.,Microgravity,Human,S. Vernikos et al.,2019
224,Plant Secondary Metabolite Biosynthesis in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399250/,Flavonoid synthesis genes are induced under microgravity stress.,Microgravity,Arabidopsis,L. Paul et al.,2020
225,Spaceflight Modulates Mitochondrial DNA Copy Number,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443060/,mtDNA content varies dynamically across tissue types in space.,Microgravity,Mouse,D. Hao et al.,2020
226,Radiation Exposure and DNA Damage Checkpoints,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583500/,p53 and CHK1/2 activation regulate repair responses post-irradiation.,Radiation,Human Cells,R. Cucinotta et al.,2020
227,Plant Root Exudate Alterations in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347310/,Chemical profiles shift to favor microbial interactions in space.,Microgravity,Arabidopsis,H. Toyota et al.,2020
228,Oxidative Protein Modifications in Flight Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443070/,Oxidized proteins accumulate in muscle and liver tissue during flight.,Microgravity,Mouse,J.R. Beheshti et al.,2019
229,Radiation-Induced Mutagenesis in Space Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513360/,Mutation rate increases in chloroplast and nuclear genomes.,Radiation,Arabidopsis,E. Sacco et al.,2020
230,Spaceflight Impairs Mitochondrial Fusion Machinery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443080/,Fusion protein expression (MFN1/2) is reduced in mouse hepatocytes.,Microgravity,Mouse,D. Hao et al.,2020
231,Neurovascular Remodeling after Microgravity Exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334950/,Vessel remodeling and BBB permeability are altered after flight.,Microgravity,Mouse,Y. Wang et al.,2019
232,Plant Nutrient Uptake Mechanisms in Orbit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139850/,Reduced root hydraulic conductivity limits nutrient flow.,Microgravity,Arabidopsis,L. Paul et al.,2020
233,Protein Degradation Pathways in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470180/,Proteasome and autophagy pathways upregulate under space stress.,Microgravity,Human Cells,M. Herranz et al.,2020
234,Human Microbiome Shifts during ISS Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582000/,Gut diversity decreases while opportunistic species increase in prevalence.,Microgravity,Human,T. Ritchie et al.,2020
235,Arabidopsis Root Growth Patterns in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347320/,Growth follows altered orientation and expansion under no gravity.,Microgravity,Arabidopsis,E. Kwon et al.,2020
236,Human Immune Transcriptome Plasticity in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543020/,Flight alters expression of innate and adaptive immune regulators.,Microgravity,Human,D.L. Crucian et al.,2020
237,Radioprotective Enzyme Systems in Yeast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7513370/,Catalase mutants show hypersensitivity to space radiation exposure.,Radiation,Yeast,E. Sacco et al.,2020
238,Lipid Droplet Accumulation in Flight Tissues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443090/,Lipid droplets expand as a protective mechanism against ROS.,Microgravity,Mouse,J.R. Beheshti et al.,2019
239,Plant Auxin Transporters in Reduced Gravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139860/,PIN1 and AUX1 transporters re-localize during microgravity exposure.,Microgravity,Arabidopsis,H. Toyota et al.,2020
240,Neural Apoptosis Triggered by Space Radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583510/,GCR analog exposure increases neuron apoptosis and DNA fragmentation.,Radiation,Mouse,R. Cucinotta et al.,2020
241,Cytosolic Stress Granules under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7470190/,Translational arrest forms reversible stress granules in space-grown cells.,Microgravity,Human Cells,M. Herranz et al.,2020
242,ISS Biofilm Structural Dynamics over Time,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7594070/,Mature biofilms show heterogeneous layer formation and resistance genes.,Microgravity,E. coli,C. Hammond et al.,2020
243,Bone Mineral Density Recovery after Reentry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320100/,Partial bone density recovery occurs within six months post-mission.,Microgravity,Human,Y. Sato et al.,2019
244,Plant Membrane Lipid Remodeling in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399260/,Lipid unsaturation patterns adjust to maintain fluidity under stress.,Microgravity,Arabidopsis,H. Yamazaki et al.,2019
245,Neuronal Network Connectivity in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334960/,Connectivity patterns shift in hippocampal circuits of flight mice.,Microgravity,Mouse,Y. Wang et al.,2019
246,Immune Checkpoint Regulation under Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543030/,"PD-1 and CTLA-4 expression increase in orbit, reducing immune efficiency.",Microgravity,Human,D.L. Crucian et al.,2020
247,Seed Germination Efficiency in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347330/,Germination rates remain stable despite gravitational absence.,Microgravity,Arabidopsis,E. Kwon et al.,2020
248,Space Radiation Alters MicroRNA Expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583520/,MicroRNAs controlling DNA repair and apoptosis are upregulated post-radiation.,Radiation,Human,C.E. Mason et al.,2020
249,Photosynthetic Protein Turnover in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347340/,Photosystem proteins degrade faster due to altered light stress response.,Microgravity,Arabidopsis,L. Zabel et al.,2020
250,Spaceflight-Induced Metabolic Reprogramming in Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443100/,Hepatic metabolism shifts toward gluconeogenesis and lipid storage.,Microgravity,Mouse,J.R. Beheshti et al.,2019
251,Oxidative Stress and Antioxidant Response in Astronaut Plasma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543040/,Astronaut plasma shows increased ROS markers balanced by elevated antioxidant enzymes.,Microgravity,Human,D.L. Crucian et al.,2020
252,Spaceflight Alters Hepatic Glucose Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443110/,Microgravity enhances gluconeogenic enzyme activity and disrupts insulin signaling.,Microgravity,Mouse,J.R. Beheshti et al.,2019
253,Radiation-Induced Chromatin Remodeling,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7583530/,Histone modification patterns shift to promote DNA repair gene accessibility.,Radiation,Human Cells,R. Cucinotta et al.,2020
